SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments
O=COC(C)(O)C,104.047344116,3,1,-0.1122,True,False,"['[4*]C(C)(C)O', '[3*]OC=O']"
C=COC(C)(O)O,104.047344116,3,2,-0.1952,True,False,"['[4*]C(C)(O)O', '[3*]OC=C']"
O=CCC(C)(O)O,104.047344116,3,2,-0.7238,True,False,['CC(O)(O)CC=O']
OC=CC(C)(O)O,104.047344116,3,3,-0.2411,True,False,['CC(O)(O)C=CO']
C=CCC(O)(O)O,104.047344116,3,3,-0.8068,True,False,['C=CCC(O)(O)O']
CC=CC(O)(O)O,104.047344116,3,3,-0.8068,True,False,"['[7*]CC', '[7*]CC(O)(O)O']"
OC(=O)C(C)(O)C,104.047344116,2,2,-0.1581000000000001,True,False,['CC(C)(O)C(=O)O']
CC(=O)C(C)(O)O,104.047344116,3,2,-0.7238,True,False,['CC(=O)C(C)(O)O']
C=C(O)C(C)(O)O,104.047344116,3,3,-0.2411,True,False,['C=C(O)C(C)(O)O']
CC(=C)C(O)(O)O,104.047344116,3,3,-0.8068,True,False,['C=C(C)C(O)(O)O']
CC(O)OC(=O)C,104.047344116,3,1,-0.1122000000000001,True,False,"['[3*]O[3*]', '[4*]C(C)O', '[1*]C(C)=O']"
CC(O)OC(O)=C,104.047344116,3,2,0.3704999999999999,True,False,"['[4*]C(C)O', '[3*]OC(=C)O']"
CC(C)OC(=O)O,104.047344116,2,1,1.0894,True,False,"['[1*]C(=O)O', '[3*]O[3*]', '[4*]C(C)C']"
CC(=C)OC(O)O,104.047344116,3,2,-0.1951999999999999,True,False,['C=C(C)OC(O)O']
CC(O)CC(=O)O,104.047344116,2,2,-0.1580999999999999,True,False,['CC(O)CC(=O)O']
CC(O)C=C(O)O,104.047344116,3,3,0.3245999999999999,True,False,['CC(O)C=C(O)O']
CC(=O)CC(O)O,104.047344116,3,2,-0.7238,True,False,['CC(=O)CC(O)O']
C=C(O)CC(O)O,104.047344116,3,3,-0.2411,True,False,['C=C(O)CC(O)O']
CC(O)=CC(O)O,104.047344116,3,3,-0.2411,True,False,"['[7*]CC(O)O', '[7*]C(C)O']"
OC1OC(O1)(C)C,104.047344116,3,1,0.0451999999999999,True,False,['CC1(C)OC(O)O1']
CC1OC(O1)(O)C,104.047344116,3,1,0.0451999999999999,True,False,['CC1OC(C)(O)O1']
OC1OC(C1)(O)C,104.047344116,3,2,-0.5664,True,False,['CC1(O)CC(O)O1']
CC1OC(C1)(O)O,104.047344116,3,2,-0.5664,True,False,['CC1CC(O)(O)O1']
OC1CC(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False,['OC1CC(O)(O)C1']
CC1(O)C(O1)(O)C,104.047344116,3,2,-0.5664,True,False,['CC1(O)OC1(C)O']
CC1(C)C(O1)(O)O,104.047344116,3,2,-0.5664,True,False,['CC1(C)OC1(O)O']
CC1(O)C(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False,['CC1(O)CC1(O)O']
OC(C=C)(O)OC,104.047344116,3,2,-0.5428000000000002,True,False,"['[3*]OC', '[4*]C(O)(O)C=C']"
CC(OC)(O)C=O,104.047344116,3,1,-0.4598,True,False,"['[3*]OC', '[4*]C(C)(O)C=O']"
CC(C=C)(O)OO,104.047344116,3,2,0.3704999999999999,True,False,"['[3*]OO', '[4*]C(C)(O)C=C']"
OC(CC)(O)C=O,104.047344116,3,2,-0.7238000000000002,True,False,['CCC(O)(O)C=O']
OC(C=C)(O)CO,104.047344116,3,3,-1.1544,True,False,['C=CC(O)(O)CO']
CC(C=O)(C)OO,104.047344116,3,1,0.4534999999999999,True,False,"['[4*]C(C)(C)C=O', '[3*]OO']"
CC(CO)(O)C=O,104.047344116,3,2,-1.0714,True,False,['CC(O)(C=O)CO']
CC(=O)OCOC,104.047344116,3,0,0.1533999999999999,True,False,"['[1*]C(C)=O', '[3*]OCOC']"
C=C(O)OCOC,104.047344116,3,1,0.6360999999999999,True,False,['C=C(O)OCOC']
OC(=O)CCOC,104.047344116,2,1,0.1075000000000001,True,False,"['[3*]OC', '[4*]CCC(=O)O']"
OC(O)=CCOC,104.047344116,3,2,0.5902,True,False,"['[3*]OC', '[4*]CC=C(O)O']"
OC(O)C=COC,104.047344116,3,2,-0.5428000000000002,True,False,['COC=CC(O)O']
OC(=O)OCCC,104.047344116,2,1,1.091,True,False,"['[1*]C(=O)O', '[3*]O[3*]', '[4*]CCC']"
OC(O)OC=CC,104.047344116,3,2,-0.1952,True,False,['CC=COC(O)O']
OC(O)OCC=C,104.047344116,3,2,-0.5428000000000002,True,False,"['[4*]CC=C', '[3*]OC(O)O']"
CC(=C)OCOO,104.047344116,3,1,0.9837,True,False,['C=C(C)OCOO']
CC(=O)CCOO,104.047344116,3,1,0.4551,True,False,"['[4*]CCC(C)=O', '[3*]OO']"
C=C(O)CCOO,104.047344116,3,2,0.9378,True,False,"['[4*]CCC(=C)O', '[3*]OO']"
CC(O)=CCOO,104.047344116,3,2,0.9378,True,False,"['[4*]CC[7*]', '[3*]OO', '[7*]C(C)O']"
CC(O)C=COO,104.047344116,3,2,0.3704999999999999,True,False,['CC(O)C=COO']
CC(=O)OCCO,104.047344116,3,1,-0.4581999999999999,True,False,"['[3*]O[3*]', '[1*]C(C)=O', '[4*]CCO']"
C=C(O)OCCO,104.047344116,3,2,0.0244999999999999,True,False,"['[4*]CCO', '[3*]OC(=C)O']"
CC(O)OC=CO,104.047344116,3,2,0.3704999999999999,True,False,"['[4*]C(C)O', '[3*]OC=CO']"
CC(O)OCC=O,104.047344116,3,1,-0.4598,True,False,"['[4*]C(C)O', '[3*]O[3*]', '[4*]CC=O']"
OC(=O)CCCO,104.047344116,2,2,-0.1565,True,False,['O=C(O)CCCO']
OC(O)=CCCO,104.047344116,3,3,0.3262,True,False,['OCCC=C(O)O']
OC(O)C=CCO,104.047344116,3,3,-1.1544,True,False,"['[7*]CCO', '[7*]CC(O)O']"
OC(O)CC=CO,104.047344116,3,3,-0.2411000000000001,True,False,['OC=CCC(O)O']
OC(O)CCC=O,104.047344116,3,2,-0.7238000000000002,True,False,['O=CCCC(O)O']
CC(=C)OOOC,104.047344116,3,0,1.0295999999999998,True,False,['C=C(C)OOOC']
CC(=O)COOC,104.047344116,3,0,0.1533999999999999,True,False,"['[4*]CC(C)=O', '[3*]OOC']"
C=C(O)COOC,104.047344116,3,1,0.6360999999999999,True,False,"['[3*]OOC', '[4*]CC(=C)O']"
CC(O)=COOC,104.047344116,3,1,0.9837,True,False,['COOC=C(C)O']
CC(=O)OOCC,104.047344116,3,0,0.501,True,False,"['[1*]C(C)=O', '[4*]CC', '[3*]OO[3*]']"
C=C(O)OOCC,104.047344116,3,1,0.9837,True,False,"['[3*]OOC(=C)O', '[4*]CC']"
CC(O)OOC=C,104.047344116,3,1,0.4163999999999999,True,False,"['[4*]C(C)O', '[3*]OOC=C']"
OC(=O)COCC,104.047344116,2,1,0.1075000000000001,True,False,"['[3*]O[3*]', '[4*]CC(=O)O', '[4*]CC']"
OC(O)=COCC,104.047344116,3,2,0.9378,True,False,"['[4*]CC', '[3*]OC=C(O)O']"
OC(O)COC=C,104.047344116,3,2,-0.5428000000000002,True,False,"['[3*]OC=C', '[4*]CC(O)O']"
CC(=C)COOO,104.047344116,3,1,0.9837,True,False,"['[3*]OOO', '[4*]CC(=C)C']"
CC(C)=COOO,104.047344116,3,1,1.3313,True,False,['CC(C)=COOO']
CC(=C)OOCO,104.047344116,3,1,0.418,True,False,['C=C(C)OOCO']
CC(C)OOC=O,104.047344116,3,0,0.4994,True,False,"['[4*]C(C)C', '[3*]OOC=O']"
CC(=O)COCO,104.047344116,3,1,-0.4581999999999999,True,False,"['[3*]OCO', '[4*]CC(C)=O']"
C=C(O)COCO,104.047344116,3,2,0.0244999999999999,True,False,"['[3*]OCO', '[4*]CC(=C)O']"
CC(O)=COCO,104.047344116,3,2,0.3720999999999999,True,False,['CC(O)=COCO']
CC(O)COC=O,104.047344116,3,1,-0.4598,True,False,"['[4*]CC(C)O', '[3*]OC=O']"
OC1(O)OCC1C,104.047344116,3,2,-0.7089000000000001,True,False,['CC1COC1(O)O']
CC1(O)OCC1O,104.047344116,3,2,-0.914,True,False,['CC1(O)OCC1O']
OC1(O)CCC1O,104.047344116,3,3,-1.1780000000000002,True,False,['OC1CCC1(O)O']
CC1(O)OOC1C,104.047344116,3,1,0.0451999999999999,True,False,['CC1OOC1(C)O']
OC1(O)COC1C,104.047344116,3,2,-0.914,True,False,['CC1OCC1(O)O']
CC1(C)OOC1O,104.047344116,3,1,0.0451999999999999,True,False,['CC1(C)OOC1O']
CC1(O)COC1O,104.047344116,3,2,-0.914,True,False,['CC1(O)COC1O']
OCC1C(O)(O)C1,104.047344116,3,3,-1.3205000000000002,True,False,"['[15*]C1CC1(O)O', '[8*]CO']"
OCC1C(C)(O)O1,104.047344116,3,2,-0.914,True,False,"['[13*]C1OC1(C)O', '[8*]CO']"
CCC1C(O)(O)O1,104.047344116,3,2,-0.5664,True,False,"['[13*]C1OC1(O)O', '[8*]CC']"
OOC1C(C)(O)C1,104.047344116,3,2,-0.0007,True,False,"['[3*]OO', '[15*]C1CC1(C)O']"
COC1C(O)(O)C1,104.047344116,3,2,-0.914,True,False,"['[3*]OC', '[15*]C1CC1(O)O']"
OOC1C(C)(C)O1,104.047344116,3,1,0.6109,True,False,"['[13*]C1OC1(C)C', '[3*]OO']"
COC1C(C)(O)O1,104.047344116,3,1,-0.3023999999999999,True,False,"['[3*]OC', '[13*]C1OC1(C)O']"
CC1(O)OCCO1,104.047344116,3,1,-0.3007999999999999,True,False,['CC1(O)OCCO1']
OC1(O)OCCC1,104.047344116,3,2,-0.5648000000000002,True,False,['OC1(O)CCCO1']
CC1(O)COOC1,104.047344116,3,1,-0.3007999999999999,True,False,['CC1(O)COOC1']
CC1(O)CCOO1,104.047344116,3,1,0.0468,True,False,['CC1(O)CCOO1']
OC1(O)CCOC1,104.047344116,3,2,-0.9124,True,False,['OC1(O)CCOC1']
CC1(C)OOOC1,104.047344116,3,0,0.6584,True,False,['CC1(C)COOO1']
CC1(C)OCOO1,104.047344116,3,0,0.6584,True,False,['CC1(C)OCOO1']
CC1(O)OCOC1,104.047344116,3,1,-0.3007999999999999,True,False,['CC1(O)COCO1']
OC1C(C1O)(O)C,104.047344116,3,3,-1.5272000000000003,True,False,['CC1(O)C(O)C1O']
CC1C(C1O)(O)O,104.047344116,3,3,-1.3221,True,False,['CC1C(O)C1(O)O']
OCOC(=C)OC,104.047344116,3,1,0.0704,True,False,['C=C(OC)OCO']
O=COC(C)OC,104.047344116,3,0,0.1517999999999999,True,False,"['[3*]OC', '[4*]C([4*])C', '[3*]OC=O']"
CCOC(=O)OC,104.047344116,3,0,0.7893000000000001,True,False,"['[3*]OC', '[3*]O[3*]', '[4*]CC', '[1*]C([1*])=O']"
C=COC(O)OC,104.047344116,3,1,0.0687999999999999,True,False,['C=COC(O)OC']
OCCC(=O)OC,104.047344116,3,1,-0.4582000000000001,True,False,"['[3*]OC', '[1*]C(=O)CCO']"
OCC=C(O)OC,104.047344116,3,2,0.0244999999999999,True,False,['COC(O)=CCO']
O=CCC(O)OC,104.047344116,3,1,-0.4598,True,False,"['[3*]OC', '[4*]C(O)CC=O']"
OC=CC(O)OC,104.047344116,3,2,0.0228999999999999,True,False,"['[3*]OC', '[4*]C(O)C=CO']"
OCOC(=O)CC,104.047344116,3,1,-0.1106,True,False,"['[3*]OCO', '[1*]C(=O)CC']"
OCOC(O)=CC,104.047344116,3,2,0.3721,True,False,['CC=C(O)OCO']
O=COC(O)CC,104.047344116,3,1,-0.1122,True,False,"['[4*]C(O)CC', '[3*]OC=O']"
OCOC(O)C=C,104.047344116,3,2,-0.5428000000000002,True,False,"['[3*]OCO', '[4*]C(O)C=C']"
CCOC(=C)OO,104.047344116,3,1,0.9837,True,False,"['[3*]OC(=C)OO', '[4*]CC']"
C=COC(C)OO,104.047344116,3,1,0.9821,True,False,"['[3*]OO', '[3*]OC=C', '[4*]C([4*])C']"
OCCC(=C)OO,104.047344116,3,2,0.3720999999999999,True,False,['C=C(CCO)OO']
OCC=C(C)OO,104.047344116,3,2,0.3721,True,False,"['[7*]CCO', '[7*]C(C)OO']"
O=CCC(C)OO,104.047344116,3,1,0.4534999999999999,True,False,"['[3*]OO', '[4*]C(C)CC=O']"
OC=CC(C)OO,104.047344116,3,2,0.9362,True,False,"['[3*]OO', '[4*]C(C)C=CO']"
OCOC(=C)CO,104.047344116,3,2,-0.5412000000000001,True,False,['C=C(CO)OCO']
OCOC(C)=CO,104.047344116,3,2,0.3721,True,False,['CC(=CO)OCO']
O=COC(C)CO,104.047344116,3,1,-0.4598000000000001,True,False,"['[4*]C(C)CO', '[3*]OC=O']"
OCOC(C)C=O,104.047344116,3,1,-0.4598,True,False,"['[3*]OCO', '[4*]C(C)C=O']"
CCCC(=O)OO,104.047344116,3,1,0.8027,True,False,"['[3*]OO', '[1*]C(=O)CCC']"
CCC=C(O)OO,104.047344116,3,2,1.2854,True,False,['CCC=C(O)OO']
C=CCC(O)OO,104.047344116,3,2,0.3704999999999999,True,False,"['[3*]OO', '[4*]C(O)CC=C']"
CC=CC(O)OO,104.047344116,3,2,0.3705,True,False,"['[7*]CC', '[3*]OO', '[4*]C(O)C[7*]']"
CCOC(=O)CO,104.047344116,3,1,-0.4581999999999999,True,False,"['[3*]O[3*]', '[1*]C(=O)CO', '[4*]CC']"
CCOC(O)=CO,104.047344116,3,2,0.9378,True,False,"['[4*]CC', '[3*]OC(O)=CO']"
C=COC(O)CO,104.047344116,3,2,-0.5428000000000002,True,False,"['[3*]OC=C', '[4*]C(O)CO']"
CCOC(O)C=O,104.047344116,3,1,-0.4598,True,False,"['[4*]C(O)C=O', '[3*]O[3*]', '[4*]CC']"
OCCC(=O)CO,104.047344116,3,2,-1.0698000000000003,True,False,['O=C(CO)CCO']
OCC=C(O)CO,104.047344116,3,3,-0.5871,True,False,"['[7*]CCO', '[7*]C(O)CO']"
OCCC(O)=CO,104.047344116,3,3,0.3261999999999999,True,False,['OC=C(O)CCO']
O=CCC(O)CO,104.047344116,3,2,-1.0714,True,False,['O=CCC(O)CO']
OC=CC(O)CO,104.047344116,3,3,-0.5887000000000002,True,False,['OC=CC(O)CO']
OCCC(O)C=O,104.047344116,3,2,-1.0714,True,False,['O=CC(O)CCO']
COOC(=C)OC,104.047344116,3,0,0.6819999999999999,True,False,['C=C(OC)OOC']
OOCC(=C)OC,104.047344116,3,1,0.6360999999999999,True,False,"['[3*]OO', '[4*]CC(=C)OC']"
OOC=C(C)OC,104.047344116,3,1,0.9837,True,False,['COC(C)=COO']
OOOC(=C)CC,104.047344116,3,1,1.3313,True,False,['C=C(CC)OOO']
OOOC(C)=CC,104.047344116,3,1,1.3313,True,False,"['[7*]CC', '[7*]C(C)OOO']"
OOOC(C)C=C,104.047344116,3,1,0.9821,True,False,"['[4*]C(C)C=C', '[3*]OOO']"
COCC(=O)OC,104.047344116,3,0,-0.1941999999999999,True,False,"['[3*]OC', '[1*]C(=O)C[4*]']"
COC=C(O)OC,104.047344116,3,1,0.6360999999999999,True,False,['COC=C(O)OC']
COOC(=O)CC,104.047344116,3,0,0.5009999999999999,True,False,"['[3*]OOC', '[1*]C(=O)CC']"
COOC(O)=CC,104.047344116,3,1,0.9837,True,False,['CC=C(O)OOC']
COOC(O)C=C,104.047344116,3,1,0.0688,True,False,"['[3*]OOC', '[4*]C(O)C=C']"
OOCC(=O)CC,104.047344116,3,1,0.4551,True,False,"['[3*]OO', '[4*]CC(=O)CC']"
OOC=C(O)CC,104.047344116,3,2,1.2854,True,False,['CCC(O)=COO']
OOCC(O)=CC,104.047344116,3,2,0.9378,True,False,"['[7*]CC', '[4*]CC([7*])O', '[3*]OO']"
OOCC(O)C=C,104.047344116,3,2,0.0228999999999999,True,False,"['[3*]OO', '[4*]CC(O)C=C']"
COCC(=C)OO,104.047344116,3,1,0.6361000000000001,True,False,"['[3*]OC', '[4*]CC(=C)OO']"
COC=C(C)OO,104.047344116,3,1,0.9837,True,False,['COC=C(C)OO']
COOC(=C)CO,104.047344116,3,1,0.0703999999999999,True,False,['C=C(CO)OOC']
COOC(C)=CO,104.047344116,3,1,0.9837,True,False,['COOC(C)=CO']
COOC(C)C=O,104.047344116,3,0,0.1517999999999999,True,False,"['[4*]C(C)C=O', '[3*]OOC']"
OOCC(=C)CO,104.047344116,3,2,0.0244999999999999,True,False,"['[3*]OO', '[4*]CC(=C)CO']"
OOC=C(C)CO,104.047344116,3,2,0.3720999999999999,True,False,['CC(=COO)CO']
OOCC(C)=CO,104.047344116,3,2,0.9378,True,False,"['[3*]OO', '[4*]CC(C)=CO']"
OOCC(C)C=O,104.047344116,3,1,0.3109999999999999,True,False,"['[3*]OO', '[4*]CC(C)C=O']"
COCC(=O)CO,104.047344116,3,1,-0.8057999999999998,True,False,"['[3*]OC', '[4*]CC(=O)CO']"
COC=C(O)CO,104.047344116,3,2,0.0244999999999999,True,False,['COC=C(O)CO']
COCC(O)=CO,104.047344116,3,2,0.5902000000000001,True,False,"['[3*]OC', '[4*]CC(O)=CO']"
COCC(O)C=O,104.047344116,3,1,-0.8074000000000001,True,False,"['[3*]OC', '[4*]CC(O)C=O']"
OC(O)=C(C)OC,104.047344116,3,2,0.9378,True,False,['COC(C)=C(O)O']
OC(O)C(=C)OC,104.047344116,3,2,-0.5428000000000002,True,False,['C=C(OC)C(O)O']
OC(=O)C(C)OC,104.047344116,2,1,0.1059000000000001,True,False,"['[3*]OC', '[4*]C(C)C(=O)O']"
CC(O)=C(O)OC,104.047344116,3,2,0.9378,True,False,['COC(O)=C(C)O']
CC(O)C(=O)OC,104.047344116,3,1,-0.4598000000000002,True,False,"['[3*]OC', '[1*]C(=O)C(C)O']"
CC(=O)C(O)OC,104.047344116,3,1,-0.4598,True,False,"['[3*]OC', '[4*]C(O)C(C)=O']"
C=C(O)C(O)OC,104.047344116,3,2,0.0228999999999999,True,False,"['[3*]OC', '[4*]C(O)C(=C)O']"
OC(O)=C(O)CC,104.047344116,3,3,1.2395,True,False,['CCC(O)=C(O)O']
OC(O)C(=O)CC,104.047344116,3,2,-0.7238,True,False,['CCC(=O)C(O)O']
OC(O)C(O)=CC,104.047344116,3,3,-0.2411000000000001,True,False,"['[7*]CC', '[7*]C(O)C(O)O']"
OC(=O)C(O)CC,104.047344116,2,2,-0.1581000000000001,True,False,['CCC(O)C(=O)O']
OC(O)C(O)C=C,104.047344116,3,3,-1.1560000000000004,True,False,['C=CC(O)C(O)O']
CC(O)=C(C)OO,104.047344116,3,2,1.2854,True,False,"['[7*]C(C)OO', '[7*]C(C)O']"
CC(O)C(=C)OO,104.047344116,3,2,0.3704999999999999,True,False,['C=C(OO)C(C)O']
CC(=O)C(C)OO,104.047344116,3,1,0.4534999999999999,True,False,"['[4*]C(C)C(C)=O', '[3*]OO']"
C=C(O)C(C)OO,104.047344116,3,2,0.9362,True,False,"['[3*]OO', '[4*]C(C)C(=C)O']"
OC(O)=C(C)CO,104.047344116,3,3,0.3262,True,False,['CC(CO)=C(O)O']
OC(O)C(=C)CO,104.047344116,3,3,-1.1544,True,False,['C=C(CO)C(O)O']
OC(O)C(C)=CO,104.047344116,3,3,-0.2411000000000001,True,False,['CC(=CO)C(O)O']
OC(=O)C(C)CO,104.047344116,2,2,-0.3005999999999999,True,False,['CC(CO)C(=O)O']
OC(O)C(C)C=O,104.047344116,3,2,-0.8679000000000001,True,False,['CC(C=O)C(O)O']
CC(C)=C(O)OO,104.047344116,3,2,1.2854,True,False,['CC(C)=C(O)OO']
CC(C)C(=O)OO,104.047344116,3,1,0.6586000000000001,True,False,"['[3*]OO', '[1*]C(=O)C(C)C']"
CC(=C)C(O)OO,104.047344116,3,2,0.3705,True,False,"['[4*]C(O)C(=C)C', '[3*]OO']"
CC(O)=C(O)CO,104.047344116,3,3,0.3262,True,False,"['[7*]C(C)O', '[7*]C(O)CO']"
CC(O)C(=O)CO,104.047344116,3,2,-1.0714,True,False,['CC(O)C(=O)CO']
CC(O)C(O)=CO,104.047344116,3,3,0.3245999999999999,True,False,['CC(O)C(O)=CO']
CC(=O)C(O)CO,104.047344116,3,2,-1.0714,True,False,['CC(=O)C(O)CO']
C=C(O)C(O)CO,104.047344116,3,3,-0.5887,True,False,['C=C(O)C(O)CO']
CC(O)C(O)C=O,104.047344116,3,2,-1.0730000000000002,True,False,['CC(O)C(O)C=O']
CC1(OC)OCO1,104.047344116,3,0,0.3107999999999999,True,False,"['[3*]OC', '[13*]C1(C)OCO1', '[4*]C1(C)OCO1']"
OC1(OC)OCC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]OC', '[13*]C1(O)CCO1']"
OC1(CC)OCO1,104.047344116,3,1,0.0467999999999999,True,False,"['[8*]CC', '[13*]C1(O)OCO1']"
CC1(OO)OCC1,104.047344116,3,1,0.6125,True,False,"['[4*]C1(C)CCO1', '[3*]OO', '[13*]C1(C)CCO1']"
CC1(CO)OCO1,104.047344116,3,1,-0.3007999999999999,True,False,"['[13*]C1(C)OCO1', '[8*]CO']"
OC1(OO)CCC1,104.047344116,3,2,0.3485,True,False,"['[15*]C1(O)CCC1', '[3*]OO']"
OC1(CO)OCC1,104.047344116,3,2,-0.9124,True,False,"['[13*]C1(O)CCO1', '[8*]CO']"
CC1(OC)OOC1,104.047344116,3,0,0.3107999999999999,True,False,"['[3*]OC', '[13*]C1(C)COO1', '[4*]C1(C)COO1']"
CC1(CC)OOO1,104.047344116,3,0,1.006,True,False,"['[8*]CC', '[13*]C1(C)OOO1']"
OC1(OC)COC1,104.047344116,3,1,-0.6484000000000001,True,False,"['[3*]OC', '[15*]C1(O)COC1']"
OC1(CC)OOC1,104.047344116,3,1,0.0467999999999999,True,False,"['[13*]C1(O)COO1', '[8*]CC']"
CC1(OO)COC1,104.047344116,3,1,0.2648999999999999,True,False,"['[15*]C1(C)COC1', '[3*]OO', '[4*]C1(C)COC1']"
CC1(CO)OOC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[13*]C1(C)COO1', '[8*]CO']"
OC1(CO)COC1,104.047344116,3,2,-1.26,True,False,"['[15*]C1(O)COC1', '[8*]CO']"
OCOC1(O)CC1,104.047344116,3,2,-0.5648000000000002,True,False,"['[3*]OCO', '[15*]C1(O)CC1']"
CCOC1(C)OO1,104.047344116,3,0,0.6584,True,False,"['[4*]C1(C)OO1', '[3*]O[3*]', '[4*]CC', '[13*]C1(C)OO1']"
OCCC1(C)OO1,104.047344116,3,1,0.0467999999999999,True,False,"['[8*]CCO', '[13*]C1(C)OO1']"
OCOC1(C)OC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]OCO', '[13*]C1(C)CO1', '[4*]C1(C)CO1']"
CCCC1(O)OO1,104.047344116,3,1,0.3943999999999999,True,False,"['[13*]C1(O)OO1', '[8*]CCC']"
CCOC1(O)OC1,104.047344116,3,1,-0.3007999999999999,True,False,"['[3*]O[3*]', '[4*]CC', '[13*]C1(O)CO1']"
OCCC1(O)OC1,104.047344116,3,2,-0.9124,True,False,"['[8*]CCO', '[13*]C1(O)CO1']"
OOOC1(C)CC1,104.047344116,3,1,0.9601,True,False,"['[3*]OOO', '[15*]C1(C)CC1', '[4*]C1(C)CC1']"
COOC1(O)CC1,104.047344116,3,1,0.0468,True,False,"['[3*]OOC', '[15*]C1(O)CC1']"
OOCC1(O)CC1,104.047344116,3,2,0.0008999999999999,True,False,"['[3*]OO', '[15*]C1(O)CC1', '[4*]C[8*]']"
COCC1(C)OO1,104.047344116,3,0,0.3108000000000001,True,False,"['[3*]OC', '[13*]C1(C)OO1', '[4*]C[8*]']"
